data,ano,mes,gestora,pos_brl_mil,pos_usd_mil,ptax,data_preco_b3,preco_itub4_brl,qtd_itub4,qtd_direta,qtd_cedida,qtd_obrig,valor_direta_mil,valor_cedida_mil,valor_obrig_mil,n_fundos_itub4,pl_mil,n_fundos_gestora,peso_itub4,delta_pos_brl_mil,delta_pos_usd_mil,delta_qtd_itub4
2020-10-30,2020,10,Claritas Investimentos,33213.7434971591,5754.48620831613,5.7718,2020-10-30,23.48,1414554.66342245,1398379.57049871,16175.0929237345,-58422.6794064183,32833.9523153098,379.791181849286,-1371.7645124627,9,5367651.6,17,0.00618776067678444,9976.09726014572,1634.84746897291,381770.386221855
2020-11-30,2020,11,Claritas Investimentos,45748.9810720436,8580.56174804351,5.3317,2020-11-30,28.56,1601855.07955335,1597248.81101666,4606.26853668273,-18289.6256636838,45617.4260426359,131.555029407659,-522.35170895481,9,5518662.76,17,0.00828986714021343,12535.2375748845,2826.07553972737,187300.416130899
2020-12-31,2020,12,Claritas Investimentos,48217.1291774073,9278.41306548526,5.1967,2020-12-30,31.63,1524411.29236191,1507247.97836989,17163.3139920246,-12207.9002199078,47674.2535558395,542.875621567738,-386.135883955684,9,5568135.62,17,0.00865947463711512,2468.1481053637,697.851317441755,-77443.7871914341
2021-01-29,2021,1,Claritas Investimentos,42894.274454081,7833.28301358333,5.4759,2021-01-29,28.34,1513559.43733525,1505778.28663314,7781.15070211168,-5167.97508329174,42673.7566431831,220.517810897845,-146.460413860488,9,5383868.66,17,0.00796718441011913,-5322.85472332628,-1445.13005190193,-10851.8550266619
2021-02-26,2021,2,Claritas Investimentos,37887.6483359548,6851.04486925515,5.5302,2021-02-26,25.55,1482882.51804129,1472427.77215874,10454.745882544,-11858.6685540741,37620.5295786558,267.118757298999,-302.988981556593,9,5261073.64,17,0.00720150504032003,-5006.62611812614,-982.238144328181,-30676.9192939643
2021-03-31,2021,3,Claritas Investimentos,64077.7482326513,11247.0377604569,5.6973,2021-03-31,27.97,2290945.59287277,2249930.17643803,41015.4164347392,-11958.4445325905,62930.5470349716,1147.20119767965,-334.477693576555,9,5202792.68,17,0.0123160295198715,26190.0998966964,4395.99289120178,808063.074831481
2021-04-30,2021,4,Claritas Investimentos,48831.0650980988,9036.76532276607,5.4036,2021-04-30,27.53,1773740.10527057,1734876.85755355,38863.2477170229,-28488.6790127928,47761.1598884491,1069.90520964964,-784.293333222185,9,5131266.84,17,0.00951637609594646,-15246.6831345525,-2210.27243769086,-517205.487602198
2021-05-31,2021,5,Claritas Investimentos,96905.089075537,18520.9068987304,5.2322,2021-05-31,29.54,3280470.17858961,3235680.45000352,44789.7285860864,-31608.6713644509,95582.0004931041,1323.08858243299,-933.720152105879,9,5169900.05,17,0.0187440933361056,48074.0239774383,9484.1415759643,1506730.07331904
2021-06-30,2021,6,Claritas Investimentos,111634.181668641,22317.0168463159,5.0022,2021-06-30,29.8,3746113.47881347,3693072.50868032,53040.9701331479,-34022.8810890487,110053.560758674,1580.62090996781,-1013.88185645365,9,5115173.76,17,0.0218241230711665,14729.0925931043,3796.10994758551,465643.300223858
2021-07-30,2021,7,Claritas Investimentos,111496.294782216,21769.8170068369,5.1216,2021-07-30,30.3,3679745.70238335,3622453.32553219,57292.3768511624,-42645.5505144601,109760.335763625,1735.95901859022,-1292.16018058814,9,5060571.54,17,0.0220323522552584,-137.886886425709,-547.199839479032,-66367.7764301128
