data,ano,mes,gestora,pos_brl_mil,pos_usd_mil,ptax,data_preco_b3,preco_itub4_brl,qtd_itub4,qtd_direta,qtd_cedida,qtd_obrig,valor_direta_mil,valor_cedida_mil,valor_obrig_mil,n_fundos_itub4,pl_mil,n_fundos_gestora,peso_itub4,delta_pos_brl_mil,delta_pos_usd_mil,delta_qtd_itub4
2021-10-29,2021,10,Verde Asset Management,7679.42960340027,1360.87712270074,5.643,2021-10-29,23.31,329447.859433731,329447.859433731,132073.122151855,0,7679.42960340027,3078.62447735974,0,11,2593735.1,16,0.00296076095180278,-6168.20254701431,-1184.92428010372,-149212.083546379
2021-11-30,2021,11,Verde Asset Management,7181.03663563997,1277.78726234274,5.6199,2021-11-30,22.38,320868.482378909,320868.482378909,140968.51370926,0,7181.03663563997,3154.87533681324,0,11,2435521.5,16,0.00294845955399695,-498.392967760292,-83.0898603579967,-8579.37705482222
2021-12-31,2021,12,Verde Asset Management,6812.41517121838,1220.75354739152,5.5805,2021-12-30,20.95,325174.948506844,325174.948506844,121628.945943915,0,6812.41517121838,2548.12641752501,0,11,2455110.97,16,0.00277478910503926,-368.621464421596,-57.0337149512216,4306.46612793522
2016-01-29,2016,1,Vinci Partners,15719.0581546681,3888.16121368064,4.0428,2016-01-29,24.95,630022.370928582,630022.370928582,41721.9554466679,-1096.66882075172,15719.0581546681,1040.96278839436,-27.3618870777554,18,3840409.75,46,0.00409306797397546,,,
2016-02-29,2016,2,Vinci Partners,28236.8957917999,7095.41054171272,3.9796,2016-02-29,25.4,1111688.81070079,1111688.81070079,160959.614460794,-1079.20230079114,28236.8957917999,4088.37420730418,-27.411738440095,20,4013299.75,46,0.00703583025210114,12517.8376371318,3207.24932803207,481666.439772204
2016-03-31,2016,3,Vinci Partners,41258.4487747333,11593.0340202684,3.5589,2016-03-31,31.21,1321962.47275659,1321962.47275659,692936.781792157,-1181.04535060222,41258.4487747333,21626.5569597332,-36.8604253922952,20,4162177.9,46,0.00991270670451959,13021.5529829333,4497.6234785557,210273.662055808
2016-04-29,2016,4,Vinci Partners,41668.0414513093,12074.893199058,3.4508,2016-04-29,32.87,1267661.7417496,1267661.7417496,193835.273946328,-797.441389623425,41668.0414513093,6371.36545461579,-26.211898476922,23,4305195.48,46,0.0096785480810059,409.592676576001,481.85917878956,-54300.7310069953
2016-05-31,2016,5,Vinci Partners,70432.5371868704,19591.2595440657,3.5951,2016-05-31,29.05,2424527.95823995,2424527.95823995,70848.6339301738,-516.37448076042,70432.5371868704,2058.15281567155,-15.0006786660902,22,4064164.31,46,0.0173301401750832,28764.4957355611,7516.36634500767,1156866.21649035
2016-06-30,2016,6,Vinci Partners,28347.2719126861,8831.4760772279,3.2098,2016-06-30,30.3,935553.528471489,935553.528471489,1830338.87163591,-803.903407006987,28347.2719126861,55459.267810568,-24.3582732323117,22,4112340.54,46,0.00689322093755546,-42085.2652741843,-10759.7834668377,-1488974.42976846
2016-07-29,2016,7,Vinci Partners,29090.3547199442,8981.27654212541,3.239,2016-07-29,33.79,860916.091149577,860916.091149577,1105537.84561325,-3812.12805782608,29090.3547199442,37356.1238032719,-128.811807073943,22,4371496.91,45,0.00665455227782471,743.082807258073,149.800464897506,-74637.4373219125
2016-08-31,2016,8,Vinci Partners,66965.0263236958,20666.3044544319,3.2403,2016-08-31,35.85,1867922.63106543,1867922.63106543,604748.561814715,-5759.12608925296,66965.0263236958,21680.2359410575,-206.464670299719,24,4630519.29,48,0.0144616666360321,37874.6716037516,11685.0279123065,1007006.53991586
2016-09-30,2016,9,Vinci Partners,24579.5572020271,7571.79385189672,3.2462,2016-09-30,35.52,691992.038345358,691992.038345358,1437275.40196326,-6033.41998307795,24579.5572020271,51052.022277735,-214.307077798929,22,4619238.25,47,0.00532112782925348,-42385.4691216687,-13094.5106025352,-1175930.59272008
2016-10-31,2016,10,Vinci Partners,54631.7698594914,17173.8611987965,3.1811,2016-10-31,38.4,1422702.34009092,1422702.34009092,1471463.12452556,-189408.482857231,54631.7698594914,56504.1839817816,-7273.28574171767,19,4856870.61,47,0.0112483478038324,30052.2126574643,9602.06734689974,730710.301745564
2016-11-30,2016,11,Vinci Partners,20463.8121866385,6024.61571131935,3.3967,2016-11-30,35.42,577747.379634061,577747.379634061,2302433.47423169,-152837.185825056,20463.8121866385,81552.1936572863,-5413.4931219235,20,4636375.85,47,0.00441375178559746,-34167.957672853,-11149.2454874771,-844954.960456861
2016-12-30,2016,12,Vinci Partners,78175.6190637503,23986.8733895095,3.2591,2016-12-29,33.85,2309471.75963812,2309471.75963812,509354.476504352,-92380.624216307,78175.6190637503,17241.6490296723,-3127.08412972199,19,4628963.13,47,0.0168883650330026,57711.8068771119,17962.2576781901,1731724.38000406
2017-01-31,2017,1,Vinci Partners,74052.3267255386,23681.5883356375,3.127,2017-01-31,37.24,1988515.75525077,1988515.75525077,770321.476866591,-10818.5813611389,74052.3267255386,28686.7717985118,-402.883969888813,17,4601315,45,0.0160937311889185,-4123.2923382117,-305.285053871921,-320956.00438735
2017-02-24,2017,2,Vinci Partners,89021.0004962028,28722.9375975875,3.0993,2017-02-24,40.03,2223857.1195654,2223857.1195654,488168.703394701,-3358.13448954564,89021.0004962028,19541.3931968899,-134.426123616512,16,4682311.01,45,0.0190121929760925,14968.6737706642,5041.34926194991,235341.364314628
2017-03-31,2017,3,Vinci Partners,70726.3882908714,22322.4303405098,3.1684,2017-03-31,37.9,1866131.61717339,1866131.61717339,1019981.49283022,-889.980875361684,70726.3882908714,38657.2985782655,-33.7302751762078,21,4605067.03,44,0.0153583841082268,-18294.6122053314,-6400.50725707762,-357725.502392009
2017-04-28,2017,4,Vinci Partners,115446.636916305,36095.121597144,3.1984,2017-04-28,39.26,2940566.40133228,2940566.40133228,537456.794594556,-955.906103633806,115446.636916305,21100.5537557823,-37.5288736286632,23,4604049.5,44,0.0250750207868758,44720.2486254339,13772.6912566341,1074434.78415889
2017-05-31,2017,5,Vinci Partners,63252.3494181754,19500.0614786125,3.2437,2017-05-31,35.55,1779250.33525107,1779250.33525107,2220144.59056002,-121.39590723677,63252.3494181754,78926.1401944086,-4.31562450226716,20,4505930.52,44,0.0140375776185238,-52194.2874981298,-16595.0601185314,-1161316.06608121
2017-06-30,2017,6,Vinci Partners,113846.803204626,34413.5188938474,3.3082,2017-06-30,36.75,3097872.19604424,3097872.19604424,1207194.76234215,-1081.94956731613,113846.803204626,44364.4075160739,-39.7616465988677,25,4725923.82,46,0.0240898515381964,50594.4537864505,14913.4574152349,1318621.86079318
2017-07-31,2017,7,Vinci Partners,121427.885208774,38786.1772794501,3.1307,2017-07-31,37.32,3253694.67333264,3253694.67333264,920966.707282072,-1125.99945062465,121427.885208774,34370.4775157669,-42.0222994973118,27,4840804.75,46,0.025084235262489,7581.0820041484,4372.65838560268,155822.477288402
2017-08-31,2017,8,Vinci Partners,142355.047764665,45233.722399881,3.1471,2017-08-31,40.35,3528006.14038824,3528006.14038824,224384.953870161,-1375.1432044031,142355.047764665,9053.93288866101,-55.487028297665,28,4978094.22,46,0.0285962943796322,20927.1625558911,6447.54512043092,274311.467055594
