data,ticker,codbdi,tpmerc,preco_fechamento_brl,negocios,quantidade_negociada,volume_brl,ano,mes
2019-03-19,ITUB4,02,010,36,31499,35023800,1274972513,2019,3
2019-03-20,ITUB4,02,010,35.19,38145,26182500,932830746,2019,3
2019-03-21,ITUB4,02,010,34.57,57347,31558000,1090955921,2019,3
2019-03-22,ITUB4,02,010,33.55,67182,30631500,1031364583,2019,3
2019-03-25,ITUB4,02,010,33.6,39289,19909900,670539408,2019,3
2019-03-26,ITUB4,02,010,33.95,32203,16071700,544492653,2019,3
2019-03-27,ITUB4,02,010,32.8,59863,28321300,938672434,2019,3
2019-03-28,ITUB4,02,010,34.1,57287,31144800,1050569394,2019,3
2019-03-29,ITUB4,02,010,34.43,33032,19700400,675793552,2019,3
2019-04-01,ITUB4,02,010,34.16,36944,17229600,590892856,2019,4
2019-04-02,ITUB4,02,010,33.62,32699,16358100,553604302,2019,4
2019-04-03,ITUB4,02,010,33.32,40133,19468200,655994389,2019,4
2019-04-04,ITUB4,02,010,33.82,45959,18053600,610448613,2019,4
2019-04-05,ITUB4,02,010,34.55,34859,16192100,557683553,2019,4
2019-04-08,ITUB4,02,010,34.34,28567,9190600,315188862,2019,4
2019-04-09,ITUB4,02,010,34.15,43100,13385100,454421059,2019,4
2019-04-10,ITUB4,02,010,34.09,32678,26315900,895037847,2019,4
2019-04-11,ITUB4,02,010,33.3,28457,12091400,404657358,2019,4
2019-04-12,ITUB4,02,010,32.95,60270,29457500,975301047,2019,4
2019-04-15,ITUB4,02,010,32.93,31918,16527700,544752478,2019,4
2019-04-16,ITUB4,02,010,32.9,41249,16992700,561463235,2019,4
2019-04-17,ITUB4,02,010,32.39,58199,35979200,1171686920,2019,4
2019-04-18,ITUB4,02,010,32.83,33172,17515300,572943408,2019,4
2019-04-22,ITUB4,02,010,32.74,31460,10063200,329567906,2019,4
2019-04-23,ITUB4,02,010,33.16,42035,13401400,445752555,2019,4
2019-04-24,ITUB4,02,010,33.21,33034,14647000,483496617,2019,4
2019-04-25,ITUB4,02,010,33.72,43421,19588900,654339060,2019,4
2019-04-26,ITUB4,02,010,33.8,23094,10071700,339702508,2019,4
2019-04-29,ITUB4,02,010,33.53,23602,11055200,372314222,2019,4
2019-04-30,ITUB4,02,010,33.83,33734,13501100,455863527,2019,4
2019-05-02,ITUB4,02,010,34.04,31055,14629500,496992432,2019,5
2019-05-03,ITUB4,02,010,33.71,31373,31030200,1050456382,2019,5
2019-05-06,ITUB4,02,010,32.97,34086,14639700,484462084,2019,5
2019-05-07,ITUB4,02,010,32.6,46362,29106700,942160583,2019,5
2019-05-08,ITUB4,02,010,32.97,43660,18049500,597853805,2019,5
2019-05-09,ITUB4,02,010,32.56,35338,21662400,704902785,2019,5
2019-05-10,ITUB4,02,010,32.41,35856,14490800,468885668,2019,5
2019-05-13,ITUB4,02,010,31.9,36575,19063500,607189233,2019,5
2019-05-14,ITUB4,02,010,31.75,27106,13339700,424671472,2019,5
2019-05-15,ITUB4,02,010,31.85,46452,21154800,668214169,2019,5
2019-05-16,ITUB4,02,010,31.44,35370,18017400,566865533,2019,5
2019-05-17,ITUB4,02,010,31.5,44713,23815600,753272395,2019,5
2019-05-20,ITUB4,02,010,32.32,40719,24166700,775019352,2019,5
2019-05-21,ITUB4,02,010,33.56,40245,23455000,780725913,2019,5
2019-05-22,ITUB4,02,010,33.6,26125,13175500,441784135,2019,5
2019-05-23,ITUB4,02,010,33.53,25791,15793700,527901912,2019,5
2019-05-24,ITUB4,02,010,33.03,32139,11538100,383902675,2019,5
2019-05-27,ITUB4,02,010,33.15,25307,10607500,352958404,2019,5
2019-05-28,ITUB4,02,010,34.08,39057,32564800,1104512014,2019,5
2019-05-29,ITUB4,02,010,34.72,40836,28132700,973148238,2019,5
2019-05-30,ITUB4,02,010,35.08,29376,15947600,558336509,2019,5
2019-05-31,ITUB4,02,010,35,39877,18216700,640173129,2019,5
2019-06-03,ITUB4,02,010,35.08,47637,18939200,662393865,2019,6
2019-06-04,ITUB4,02,010,35.02,30512,16554600,579003291,2019,6
2019-06-05,ITUB4,02,010,34.34,23632,12193600,421244483,2019,6
