data,ano,mes,gestora,pos_brl_mil,pos_usd_mil,ptax,data_preco_b3,preco_itub4_brl,qtd_itub4,qtd_direta,qtd_cedida,qtd_obrig,valor_direta_mil,valor_cedida_mil,valor_obrig_mil,n_fundos_itub4,pl_mil,n_fundos_gestora,peso_itub4,delta_pos_brl_mil,delta_pos_usd_mil,delta_qtd_itub4
2021-02-26,2021,2,Claritas Investimentos,37584.6593543983,6796.25679982609,5.5302,2021-02-26,25.55,1471023.84948721,1472427.77215874,10454.745882544,-11858.6685540741,37620.5295786558,267.118757298999,-302.988981556593,9,5261073.64,17,0.00714391432741821,-5163.15468582224,-1010.27984989733,-37367.6127647467
2021-03-31,2021,3,Claritas Investimentos,63743.2705390747,11188.3296542353,5.6973,2021-03-31,27.97,2278987.14834018,2249930.17643803,41015.4164347392,-11958.4445325905,62930.5470349716,1147.20119767965,-334.477693576555,9,5202792.68,17,0.0122517414126666,26158.6111846765,4392.0728544092,807963.298852965
2021-04-30,2021,4,Claritas Investimentos,48046.7717648766,8891.62257844336,5.4036,2021-04-30,27.53,1745251.42625778,1734876.85755355,38863.2477170229,-28488.6790127928,47761.1598884491,1069.90520964964,-784.293333222185,9,5131266.84,17,0.00936353015016396,-15696.4987741982,-2296.70707579193,-533735.722082401
2021-05-31,2021,5,Claritas Investimentos,95971.3689234312,18342.4503886379,5.2322,2021-05-31,29.54,3248861.50722516,3235680.45000352,44789.7285860864,-31608.6713644509,95582.0004931041,1323.08858243299,-933.720152105879,9,5169900.05,17,0.018563486333441,47924.5971585546,9450.82781019452,1503610.08096738
2021-06-30,2021,6,Claritas Investimentos,110620.299812188,22114.3296573883,5.0022,2021-06-30,29.8,3712090.59772442,3693072.50868032,53040.9701331479,-34022.8810890487,110053.560758674,1580.62090996781,-1013.88185645365,9,5115173.76,17,0.0216259124327748,14648.9308887565,3771.87926875039,463229.09049926
2021-07-30,2021,7,Claritas Investimentos,110204.134601627,21517.520814126,5.1216,2021-07-30,30.3,3637100.15186889,3622453.32553219,57292.3768511624,-42645.5505144601,109760.335763625,1735.95901859022,-1292.16018058814,9,5060571.54,17,0.0217770134718079,-416.165210560197,-596.80884326233,-74990.4458555239
2021-08-31,2021,8,Claritas Investimentos,114302.73430416,22223.617969817,5.1433,2021-08-31,30.94,3694335.30394827,3694536.33191226,29986.7091302227,-30187.7370942052,114308.954109365,927.78878048909,-934.008585694709,9,4698410.69,17,0.02432795722763,4098.5997025321,706.097155691008,57235.1520793792
2021-09-30,2021,9,Claritas Investimentos,45617.0512046282,8386.41232573963,5.4394,2021-09-30,28.93,1576807.85359931,1622225.39044269,924.633888618922,-46342.1707319971,46930.9805455071,26.7496583977454,-1340.67899927668,10,5599767.51,18,0.0081462402007165,-68685.6830995314,-13837.2056440773,-2117527.45034896
2021-10-29,2021,10,Claritas Investimentos,45298.1940573386,8027.32483738058,5.643,2021-10-29,23.31,1943294.46835429,1954481.03700575,19788.1038052151,-30974.6724566738,45558.9529726041,461.260699699563,-722.019614965067,9,5301820.32,18,0.00854389461039649,-318.857147289542,-359.087488359051,366486.614754981
2021-11-30,2021,11,Claritas Investimentos,42205.3069756694,7509.97472831713,5.6199,2021-11-30,22.38,1885849.2839888,1883224.09768593,17802.4933060709,-15177.3070031935,42146.555306211,398.419800189867,-339.668130731471,9,4971578.86,18,0.00848931660628821,-3092.88708166919,-517.350109063453,-57445.1843654914
2021-12-31,2021,12,Claritas Investimentos,37588.107211646,6735.61638054763,5.5805,2021-12-30,20.95,1794181.72847952,1774340.34346494,27777.8735566362,-7936.48854205001,37172.4301955905,581.946451011528,-166.269434955948,9,4810906.76,18,0.00781310241224589,-4617.19976402338,-774.358347769497,-91667.555509279
2016-01-29,2016,1,Constellation Asset Management,28456.1484520247,7038.722779268,4.0428,2016-01-29,24.95,1140526.99206512,380933.573119308,759593.418945808,0,9504.29264932674,18951.8558026979,0,9,390125.2,11,0.0729410672574462,,,
2016-02-29,2016,2,Constellation Asset Management,34699.1120417091,8719.24616587324,3.9796,2016-02-29,25.4,1366106.77329564,767249.236696334,598857.536599302,0,19488.1306120869,15210.9814296223,0,9,374090.79,10,0.0927558575866279,6242.96358968449,1680.52338660524,225579.78123052
2016-03-31,2016,3,Constellation Asset Management,40343.8416458853,11336.0424979306,3.5589,2016-03-31,31.21,1292657.53431225,468480.905264663,824176.629047586,0,14621.2890533101,25722.5525925752,0,8,411851.54,9,0.0979572436365912,5644.72960417614,2616.79633205738,-73449.2389833869
