ticker,n_gestoras,rmse_rw,rmse_ar,skill_pct,degenerate_rw
BRAP4,34,6859.12679849376,7659.58660973211,-11.7,FALSE
CTNM4,16,6.87824281622602,7.70438995300222,-12,FALSE
GOAU4,33,8344.40577841561,9380.5102381988,-12.4,FALSE
SHOW3,17,93.2664113897286,104.838905899802,-12.4,FALSE
SGPS3,8,393.849371708223,442.523397339412,-12.4,FALSE
AZUL4,30,11566.0169717595,13005.8796991468,-12.4,FALSE
BEEF3,21,2947.6362207803,3323.31816467063,-12.7,FALSE
EQTL3,38,12720.4624057673,14351.9624717534,-12.8,FALSE
OMGE3,27,6653.08994235419,7508.9711424523,-12.9,FALSE
ALUP3,7,101.631654094878,114.897354211767,-13.1,FALSE
PNVL4,18,94.1207971514435,106.704036298617,-13.4,FALSE
TECN3,12,32.4067283035341,36.7480633356205,-13.4,FALSE
CSNA3,29,7342.64327506054,8336.84333665874,-13.5,FALSE
CAML3,18,629.05493791866,714.182650992142,-13.5,FALSE
BRFS3,33,14666.8625417645,16700.0001840505,-13.9,FALSE
ENGI11,32,9532.81029971737,10862.1824744833,-13.9,FALSE
CCRO3,29,7903.5333196667,9020.13608021066,-14.1,FALSE
EVEN3,24,2574.48687256399,2943.07438500519,-14.3,FALSE
MRFG3,34,4501.908169347,5150.09445388771,-14.4,FALSE
ENBR3,35,4807.02288331261,5511.14091189437,-14.6,FALSE
FLRY3,28,4433.6436932632,5080.20996467724,-14.6,FALSE
PSSA3,19,4592.09119967551,5269.11161067208,-14.7,FALSE
BPAC11,35,18704.3210926896,21469.9974462302,-14.8,FALSE
ALPA4,26,9902.99628604589,11378.1913451261,-14.9,FALSE
SUZB3,34,18258.0009852847,21005.0946936078,-15,FALSE
BBDC3,32,3124.2699713282,3598.39387965514,-15.2,FALSE
GOAU3,17,315.701408350611,363.884460089741,-15.3,FALSE
CPFE3,32,9705.98016256328,11207.8326361055,-15.5,FALSE
EZTC3,25,6852.71889068124,7926.64192058209,-15.7,FALSE
QUAL3,35,8087.00885951894,9382.07533460744,-16,FALSE
EGIE3,28,5790.98632974567,6725.30821181673,-16.1,FALSE
INEP3,13,0.446460971383086,0.520400621225611,-16.6,FALSE
