ano,mes,grupo,gross_mil,dup_mil,dedup_mil,dup_pct
2016,1,TNA Gestão Patrimonial,28271.8881791115,7986.14335334217,20285.7448257693,28.2476476376371
2016,1,Verde Asset Management,69312.6096963813,4894.27307812673,64418.3366182546,7.06115827923047
2016,1,Vinci Partners,16732.6590559847,0,16732.6590559847,0
2016,1,Western Asset,125192.756260751,10010.3050545904,115182.45120616,7.99591394388746
2016,1,XP,11893.4494903967,406.5930295143,11486.8564608824,3.41862997646395
2016,2,ARX Investimentos,33344.7420192503,11582.1377173996,21762.6043018507,34.7345248936492
2016,2,AZ Legan,139.334976667827,-16.1217441224117,155.456720790239,-11.5704932874434
2016,2,AZ Quest Investimentos,52117.3969546069,13080.6038069099,39036.7931476969,25.0983444516671
2016,2,Atmos Capital,-165213.120875489,-82859.8457138708,-82353.2751616183,50.1533082086847
2016,2,BB,166154.272869442,49172.4568565763,116981.816012866,29.5944582148749
2016,2,BNP Paribas,69717.7862463783,13154.1994670078,56563.5867793705,18.8677813442351
2016,2,BTG Pactual,70763.5648635341,27690.0501340245,43073.5147295096,39.1303775995798
2016,2,Bogari Capital,1149.25386202594,475.550172784427,673.703689241513,41.3790363032683
2016,2,Bradesco,318604.032616825,95079.7283469024,223524.304269923,29.8426004109156
2016,2,Caixa,53327.5063352936,7658.23745497498,45669.2688803186,14.3607642307973
2016,2,Claritas Investimentos,13225.1970435828,1939.29972378241,11285.8973198004,14.6636735724358
2016,2,Constellation Asset Management,34699.1120417092,16366.0002491823,18333.1117925268,47.1654727922432
2016,2,Credit Suisse,76936.6727279789,2517.59660550357,74419.0761224753,3.27229722346443
2016,2,Daycoval Asset Management,1885.8598628941,236.232044797483,1649.62781809662,12.5264898758147
2016,2,Forpus Capital,0,0,0,
2016,2,Guepardo Investimentos,21910.5237635988,11366.0062120624,10544.5175515363,51.8746440509352
2016,2,Gávea Investimentos,-73482.6129090211,-31257.4676336512,-42225.1452753699,42.5372294155505
2016,2,Ibiuna Investimentos,3785.72042443435,1646.11742991571,2139.60299451864,43.4822766966915
2016,2,Itaú,668741.12868479,233558.193280549,435182.935404241,34.9250529483489
2016,2,JGP,51283.1322409295,17631.1146446856,33652.0175962439,34.3799488725731
2016,2,Julius Baer Family Office,32790.7179372173,9015.72186381338,23774.9960734039,27.4947376299455
2016,2,Kapitalo Investimentos,-11175.7196844472,-4543.69372117099,-6632.02596327623,40.6568332909625
2016,2,Kinea Investimentos,2895.44806444137,0,2895.44806444137,0
2016,2,Núcleo Capital,14235.6875806938,4443.54916764276,9792.13841305099,31.214152055915
2016,2,Occam Brasil,342932.432820149,137337.471554863,205594.961265285,40.0479681742118
2016,2,Opportunity,-73830.6180102241,-16440.6160110555,-57390.0019991686,22.2680189522168
2016,2,Plural,65119.6676401805,292.560593846689,64827.1070463338,0.449266104156484
2016,2,Real Investor,425,0,425,0
2016,2,SPX Capital,345942.916750736,172980.167834144,172962.748916592,50.0025175999723
2016,2,Safra,494206.283603943,182989.970674668,311216.312929275,37.0270425014094
2016,2,Santander,108741.727243644,28222.0610825624,80519.6661610816,25.9532948371592
2016,2,Sharp Capital,28038.2479715199,1616.3452401786,26421.9027313413,5.76478687905328
2016,2,Squadra Investimentos,86255.2256022921,37618.00010076,48637.2255015321,43.6124302476584
2016,2,TNA Gestão Patrimonial,26347.9947294226,7664.40727577905,18683.5874536436,29.0891483564032
2016,2,Verde Asset Management,80755.2427208445,9475.98395637744,71279.2587644671,11.7342028048063
2016,2,Vinci Partners,32297.858260664,2031.89854141842,30265.9597192456,6.29112470870273
2016,2,Western Asset,121661.406164096,9777.02006709922,111884.386096997,8.03625436805491
