ticker,model,RMSE,MAE,RMSE_RW,MAE_RW,skill_rmse_pct,skill_mae_pct
CEAB3,RW,6451.69921971497,1796.46751287871,6451.69921971497,1796.46751287871,0,0
CEAB3,AR1_painel,8356.01706154689,2168.77516132966,6451.69921971497,1796.46751287871,-29.5165316450703,-20.7244297924627
CEAB3,AR1_indiv,8361.61509845804,2187.26503307192,6451.69921971497,1796.46751287871,-29.6033000563137,-21.7536647555059
CEAB3,N1_painel,8384.07952101341,2256.05478910315,6451.69921971497,1796.46751287871,-29.9514939474164,-25.5828325828161
CEAB3,FATOR1_painel,8407.97766224845,2292.38089570605,6451.69921971497,1796.46751287871,-30.3219101807401,-27.6049179443649
CELP3,RW,533.023041129914,62.1252502532185,533.023041129914,62.1252502532185,0,0
CELP3,AR1_painel,583.80542656869,125.240098555274,533.023041129914,62.1252502532185,-9.52724019793334,-101.592907947741
CELP3,FATOR1_painel,583.849775659918,124.076908203339,533.023041129914,62.1252502532185,-9.53556049326891,-99.7205768952391
CELP3,N1_painel,584.038021078567,123.658181814125,533.023041129914,62.1252502532185,-9.5708770563671,-99.0465733499703
CELP3,AR1_indiv,585.692562307345,119.308972927828,533.023041129914,62.1252502532185,-9.88128413094136,-92.0458629004026
CESP3,RW,26.0568794275249,5.82982278480586,26.0568794275249,5.82982278480586,0,0
CESP3,AR1_painel,27.0570412750634,9.48602457622834,26.0568794275249,5.82982278480586,-3.83837922848871,-62.7154876980404
CESP3,FATOR1_painel,27.1194332148498,9.93634563711203,26.0568794275249,5.82982278480586,-4.07782440057851,-70.4399259443856
CESP3,N1_painel,27.1601843050436,10.8586733789723,26.0568794275249,5.82982278480586,-4.23421722692274,-86.2607797834441
CESP3,AR1_indiv,32.6559475003152,10.1947357953958,26.0568794275249,5.82982278480586,-25.3256269276031,-74.8721388575678
CESP6,FATOR1_painel,8517.49110639647,3680.9852382479,8539.76948204211,3380.42559524987,0.260877951008864,-8.89117759078541
CESP6,N1_painel,8518.4640411114,3673.63584381237,8539.76948204211,3380.42559524987,0.249484965320257,-8.6737672609779
CESP6,AR1_painel,8518.93429713924,3542.17274422328,8539.76948204211,3380.42559524987,0.24397830581584,-4.78481612494861
CESP6,RW,8539.76948204211,3380.42559524987,8539.76948204211,3380.42559524987,0,0
CESP6,AR1_indiv,8539.99275058987,3612.02339111769,8539.76948204211,3380.42559524987,-0.00261445637650404,-6.85114312805046
CGAS3,RW,159.074581577466,17.065339227896,159.074581577466,17.065339227896,0,0
CGAS3,AR1_painel,166.892638880739,38.7467700350577,159.074581577466,17.065339227896,-4.91471184506358,-127.049515498174
CGAS3,FATOR1_painel,167.014434075726,38.909721117274,159.074581577466,17.065339227896,-4.99127668262565,-128.004381264627
CGAS3,N1_painel,167.045213145645,39.1789326227238,159.074581577466,17.065339227896,-5.01062551234672,-129.58191512935
CGAS3,AR1_indiv,167.365662198066,37.0592542136601,159.074581577466,17.065339227896,-5.21207130540993,-117.160958354
CGAS5,AR1_indiv,1382.02242536726,265.891657252739,1392.66529008661,121.023780083697,0.764208370460839,-119.701993334578
CGAS5,AR1_painel,1387.77701327314,205.536413455303,1392.66529008661,121.023780083697,0.351001554233243,-69.831427603037
CGAS5,N1_painel,1389.59631792233,199.532939871936,1392.66529008661,121.023780083697,0.220366816501094,-64.8708540866463
CGAS5,FATOR1_painel,1391.23037312877,203.615872260879,1392.66529008661,121.023780083697,0.103033870955893,-68.2445153506712
CGAS5,RW,1392.66529008661,121.023780083697,1392.66529008661,121.023780083697,0,0
CGRA4,RW,10.7691698875708,2.25631014403665,10.7691698875708,2.25631014403665,0,0
CGRA4,AR1_painel,14.7147597456106,4.48413723067669,10.7691698875708,2.25631014403665,-36.637827234888,-98.7376266746007
CGRA4,FATOR1_painel,14.7505518465133,4.66895468412079,10.7691698875708,2.25631014403665,-36.9701843364702,-106.92876360374
CGRA4,N1_painel,14.7602244184859,4.86660650470525,10.7691698875708,2.25631014403665,-37.0600015839791,-115.68872158677
CGRA4,AR1_indiv,16.1605411853919,5.35756220463929,10.7691698875708,2.25631014403665,-50.0630165008685,-137.447950974255
CIEL3,FATOR1_painel,5475.37670540077,1706.00056082377,5635.84448130067,1359.56307136198,2.84727118415572,-25.4815312918679
CIEL3,N1_painel,5479.87480881467,1693.92568286442,5635.84448130067,1359.56307136198,2.76745877221244,-24.593387283422
CIEL3,AR1_painel,5505.79135370818,1714.66762459926,5635.84448130067,1359.56307136198,2.30760674862478,-26.1190201997427
CIEL3,AR1_indiv,5583.98525219021,1768.06960181519,5635.84448130067,1359.56307136198,0.920167852085385,-30.0468980849836
CIEL3,RW,5635.84448130067,1359.56307136198,5635.84448130067,1359.56307136198,0,0
CLSC4,RW,207.676673534597,28.8602745128073,207.676673534597,28.8602745128073,0,0
CLSC4,AR1_painel,210.106652891856,34.8843802455481,207.676673534597,28.8602745128073,-1.17007813920602,-20.8733486927417
CLSC4,N1_painel,210.107923320726,36.9557449094705,207.676673534597,28.8602745128073,-1.17068987322899,-28.0505661616999
CLSC4,FATOR1_painel,210.12335575056,35.6753612779419,207.676673534597,28.8602745128073,-1.17812086178049,-23.6140746412866
CLSC4,AR1_indiv,210.583068494172,37.1669747810732,207.676673534597,28.8602745128073,-1.39948069761948,-28.7824714369213
CMIG3,AR1_painel,7500.81991072905,1719.98124153384,7577.99522639069,1677.60019259206,1.01841335809861,-2.52629018099386
CMIG3,FATOR1_painel,7502.04144479467,1783.66563324303,7577.99522639069,1677.60019259206,1.00229386964382,-6.3224504336217
CMIG3,N1_painel,7505.16046473435,1768.92600279405,7577.99522639069,1677.60019259206,0.961134963541366,-5.44383641616599
CMIG3,AR1_indiv,7558.45923759858,1764.0797212105,7577.99522639069,1677.60019259206,0.257798906023021,-5.15495461912334
CMIG3,RW,7577.99522639069,1677.60019259206,7577.99522639069,1677.60019259206,0,0
CMIG4,AR1_painel,8014.37976890284,3035.80919079862,8194.32153897594,2933.66342973354,2.19593250298039,-3.48185003193635
CMIG4,N1_painel,8056.55461367122,3196.65493938823,8194.32153897594,2933.66342973354,1.68124871167715,-8.96461083399003
CMIG4,FATOR1_painel,8065.24484034856,3225.08010395232,8194.32153897594,2933.66342973354,1.57519689718578,-9.93354149849594
CMIG4,AR1_indiv,8159.96804660382,3089.97478359688,8194.32153897594,2933.66342973354,0.41923534741366,-5.32819655721522
CMIG4,RW,8194.32153897594,2933.66342973354,8194.32153897594,2933.66342973354,0,0
COCE5,RW,442.771131322132,123.557869587465,442.771131322132,123.557869587465,0,0
COCE5,AR1_painel,444.350386420715,129.38647049794,442.771131322132,123.557869587465,-0.356675263328055,-4.71730447436152
COCE5,FATOR1_painel,444.954082954823,139.538260504088,442.771131322132,123.557869587465,-0.493020316426795,-12.9335273989254
